Id	name	primary_muscle	secondary_muscles	core_engagement	unilateral	plyometric	isometric	knee_friendly	spine_load	body_category	type	level	impact	equipment	movement_pattern	tags	avoid_if_knee_issues	avoid_if_lower_back_issues	description	gif_url	fallback_url	fallback_url 2	Fatigue	Discipline
	Burpee	Core				TRUE				full body	plyometric			bodyweight		hiit;metcon;conditioning							Core:1;Chest:0.5;Shoulders:0.5;Quads:0.5	HIIT
	Mountain climbers	Core								full body	cardio			bodyweight		hiit;conditioning							Core:1;Shoulders:0.3;Quads:0.3	HIIT
	High knees	Quads								lower body	cardio			bodyweight		hiit;conditioning							Quads:1;Calves:0.3	HIIT
	Jumping jacks	Shoulders								full body	cardio			bodyweight		hiit;conditioning							Shoulders:0.4;Calves:0.4	HIIT
	Squat jumps	Quads				TRUE				lower body	plyometric			bodyweight		hiit;plyo							Quads:1;Glutes:0.6;Calves:0.4	HIIT
	Lunge jumps	Quads				TRUE				lower body	plyometric			bodyweight		hiit;plyo							Quads:1;Glutes:0.6;Calves:0.4	HIIT
	Skater hops	Glutes				TRUE				lower body	plyometric			bodyweight		hiit;plyo							Glutes:1;Quads:0.5;Calves:0.4	HIIT
	Tuck jumps	Quads				TRUE				lower body	plyometric			bodyweight		hiit;plyo							Quads:1;Core:0.3;Calves:0.4	HIIT
	Broad jumps	Quads				TRUE				lower body	plyometric			bodyweight		hiit;plyo							Quads:1;Glutes:0.6;Calves:0.4	HIIT
	Fast feet (in-place)	Calves								lower body	cardio			bodyweight		hiit;conditioning							Calves:0.8;Quads:0.4	HIIT
	Plank jacks	Core								full body	cardio			bodyweight		hiit;core							Core:1;Shoulders:0.5	HIIT
	Plank shoulder taps	Shoulders								upper body	core			bodyweight		hiit;core							Shoulders:0.6;Core:0.6	HIIT
	Push-up to plank (up-downs)	Chest								upper body	metcon			bodyweight		hiit;conditioning							Chest:0.8;Triceps:0.6;Core:0.5	HIIT
	Push-ups	Chest								upper body	strength			bodyweight		hiit							Chest:1;Triceps:0.7;Shoulders:0.5	HIIT
	Squats (air squats)	Quads								lower body	strength			bodyweight		hiit							Quads:1;Glutes:0.6	HIIT
	Alternating lunges	Quads								lower body	strength			bodyweight		hiit							Quads:1;Glutes:0.6	HIIT
	Reverse lunges	Glutes								lower body	strength			bodyweight		hiit							Glutes:1;Quads:0.6	HIIT
	Split squat (bodyweight)	Quads								lower body	strength			bodyweight		hiit							Quads:1;Glutes:0.6	HIIT
	Glute bridge	Glutes								lower body	strength			bodyweight		hiit							Glutes:1;Hamstrings:0.4	HIIT
	Single-leg glute bridge	Glutes								lower body	strength			bodyweight		hiit							Glutes:1;Hamstrings:0.5	HIIT
	Bear crawl	Core								full body	metcon			bodyweight		hiit;conditioning							Core:0.8;Shoulders:0.6;Quads:0.4	HIIT
	Crab walk	Triceps								full body	metcon			bodyweight		hiit;conditioning							Triceps:0.7;Shoulders:0.4;Glutes:0.4	HIIT
