name,Discipline,equipment,primary_muscle,type,body_category,tags,Fatigue
Burpee,HIIT,bodyweight,Core,plyometric,full body,"hiit;metcon;conditioning",Core:1;Chest:0.5;Shoulders:0.5;Quads:0.5
Mountain climbers,HIIT,bodyweight,Core,cardio,full body,"hiit;conditioning",Core:1;Shoulders:0.3;Quads:0.3
High knees,HIIT,bodyweight,Quads,cardio,lower body,"hiit;conditioning",Quads:1;Calves:0.3
Jumping jacks,HIIT,bodyweight,Shoulders,cardio,full body,"hiit;conditioning",Shoulders:0.4;Calves:0.4
Squat jumps,HIIT,bodyweight,Quads,plyometric,lower body,"hiit;plyo",Quads:1;Glutes:0.6;Calves:0.4
Lunge jumps,HIIT,bodyweight,Quads,plyometric,lower body,"hiit;plyo",Quads:1;Glutes:0.6;Calves:0.4
Skater hops,HIIT,bodyweight,Glutes,plyometric,lower body,"hiit;plyo",Glutes:1;Quads:0.5;Calves:0.4
Tuck jumps,HIIT,bodyweight,Quads,plyometric,lower body,"hiit;plyo",Quads:1;Core:0.3;Calves:0.4
Broad jumps,HIIT,bodyweight,Quads,plyometric,lower body,"hiit;plyo",Quads:1;Glutes:0.6;Calves:0.4
Fast feet (in-place),HIIT,bodyweight,Calves,cardio,lower body,"hiit;conditioning",Calves:0.8;Quads:0.4
Plank jacks,HIIT,bodyweight,Core,cardio,full body,"hiit;core",Core:1;Shoulders:0.5
Plank shoulder taps,HIIT,bodyweight,Shoulders,core,upper body,"hiit;core",Shoulders:0.6;Core:0.6
Push-up to plank (up-downs),HIIT,bodyweight,Chest,metcon,upper body,"hiit;conditioning",Chest:0.8;Triceps:0.6;Core:0.5
Push-ups,HIIT,bodyweight,Chest,strength,upper body,"hiit",Chest:1;Triceps:0.7;Shoulders:0.5
Squats (air squats),HIIT,bodyweight,Quads,strength,lower body,"hiit",Quads:1;Glutes:0.6
Alternating lunges,HIIT,bodyweight,Quads,strength,lower body,"hiit",Quads:1;Glutes:0.6
Reverse lunges,HIIT,bodyweight,Glutes,strength,lower body,"hiit",Glutes:1;Quads:0.6
Split squat (bodyweight),HIIT,bodyweight,Quads,strength,lower body,"hiit",Quads:1;Glutes:0.6
Glute bridge,HIIT,bodyweight,Glutes,strength,lower body,"hiit",Glutes:1;Hamstrings:0.4
Single-leg glute bridge,HIIT,bodyweight,Glutes,strength,lower body,"hiit",Glutes:1;Hamstrings:0.5
Bear crawl,HIIT,bodyweight,Core,metcon,full body,"hiit;conditioning",Core:0.8;Shoulders:0.6;Quads:0.4
Crab walk,HIIT,bodyweight,Triceps,metcon,full body,"hiit;conditioning",Triceps:0.7;Shoulders:0.4;Glutes:0.4
Inchworm walkout,HIIT,bodyweight,Core,metcon,full body,"hiit;conditioning",Core:0.8;Shoulders:0.5;Hamstrings:0.4
Bicycle crunches,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
Flutter kicks,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
Russian twists,HIIT,bodyweight,Core,core,core,"hiit;core",Core:1
Leg raises,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
Plank,HIIT,bodyweight,Core,isometric,core,"hiit;core",Core:1
Side plank (left),HIIT,bodyweight,Core,isometric,core,"hiit;core",Core:1
Side plank (right),HIIT,bodyweight,Core,isometric,core,"hiit;core",Core:1
Sprinter sit-ups,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
Jump rope (imaginary),HIIT,bodyweight,Calves,cardio,full body,"hiit;conditioning",Calves:0.8;Quads:0.4
Butt kicks,HIIT,bodyweight,Hamstrings,cardio,lower body,"hiit;conditioning",Hamstrings:0.8;Calves:0.3
Shadow boxing,HIIT,bodyweight,Shoulders,cardio,upper body,"hiit;conditioning",Shoulders:0.6;Core:0.3
Squat thrusts,HIIT,bodyweight,Core,metcon,full body,"hiit;conditioning",Core:0.8;Quads:0.6
Hollow hold,HIIT,bodyweight,Abs,isometric,core,"hiit;core",Abs:1
Dead bug,HIIT,bodyweight,Core,core,core,"hiit;core",Core:1
Bird dog,HIIT,bodyweight,Core,core,core,"hiit;core",Core:1

Wall sit,HIIT,bodyweight,Quads,isometric,lower body,"hiit;legs",Quads:1;Glutes:0.4
Sit-ups,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
V-ups,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
Toe touches,HIIT,bodyweight,Abs,core,core,"hiit;core",Abs:1
Plank to pike,HIIT,bodyweight,Core,core,core,"hiit;core",Core:1;Shoulders:0.4
Cross-body mountain climbers,HIIT,bodyweight,Core,cardio,full body,"hiit;conditioning",Core:1;Shoulders:0.3;Quads:0.3
Lateral shuffle,HIIT,bodyweight,Calves,cardio,lower body,"hiit;conditioning",Calves:0.6;Quads:0.4
Side-to-side hops,HIIT,bodyweight,Calves,plyometric,lower body,"hiit;plyo",Calves:0.8;Quads:0.4
Seal jacks,HIIT,bodyweight,Shoulders,cardio,full body,"hiit;conditioning",Shoulders:0.4;Calves:0.4
Push-up jacks,HIIT,bodyweight,Chest,metcon,upper body,"hiit;conditioning",Chest:0.8;Triceps:0.6;Core:0.5
Pike push-ups,HIIT,bodyweight,Shoulders,strength,upper body,"hiit",Shoulders:1;Triceps:0.5
Diamond push-ups,HIIT,bodyweight,Triceps,strength,upper body,"hiit",Triceps:1;Chest:0.5;Shoulders:0.3
Hand-release push-ups,HIIT,bodyweight,Chest,strength,upper body,"hiit",Chest:1;Triceps:0.6
